point_id	scenario	seed	final_E_adult	final_E_child	final_I_adult	final_I_child	final_R_adult	final_R_child	final_S_adult	final_S_child	integral_E_adult	integral_E_child	integral_I_adult	integral_I_child	integral_R_adult	integral_R_child	integral_S_adult	integral_S_child	peak_E_adult	peak_E_child	peak_I_adult	peak_I_child	peak_R_adult	peak_R_child	peak_S_adult	peak_S_child	tpeak_E_adult	tpeak_E_child	tpeak_I_adult	tpeak_I_child	tpeak_R_adult	tpeak_R_child	tpeak_S_adult	tpeak_S_child
2850	baseline	2	0	0	0	0	5000	5000	0	0	12248	12111	17125	17149	444267	446681	31360	29059	2236	2354	1893	2010	5000	5000	5000	4990	7	7	9	9	41	35	0	0
2850	baseline	3	0	0	0	0	5000	5000	0	0	12281	11948	17327	17258	445057	448329	30335	27465	2291	2255	1937	1919	5000	5000	5000	4990	7	7	9	8	39	44	0	0
2851	baseline	1	0	0	1	1	4999	4999	0	0	7529	7700	62441	59995	412834	417333	22196	19972	2285	2144	3636	3583	4999	4999	5000	4990	5	4	8	7	96	97	0	0
2851	baseline	2	0	0	2	3	4998	4997	0	0	7638	7716	61024	61676	414581	415513	21757	20095	2255	2195	3603	3633	4998	4997	5000	4990	5	4	8	7	100	96	0	0
2851	baseline	3	0	0	2	3	4998	4997	0	0	7638	7567	61849	63012	415460	416302	20053	18119	2136	2379	3645	3710	4998	4997	5000	4990	4	4	8	7	90	96	0	0
2852	baseline	1	2	0	1	0	4995	5000	2	0	43394	43865	28456	29286	322764	333975	110386	97874	2192	2218	1156	1204	4995	5000	5000	4990	26	24	31	27	99	100	0	0
2852	baseline	2	0	1	2	1	4996	4998	2	0	43659	43325	28830	28627	324728	335643	107783	97405	2171	2252	1148	1217	4996	4998	5000	4990	26	24	29	29	100	93	0	0
2852	baseline	3	1	1	1	1	4996	4998	2	0	45012	43315	28423	28914	322406	335980	109159	96791	2190	2249	1095	1203	4996	4998	5000	4990	26	24	32	28	98	100	0	0
2853	baseline	1	0	0	0	0	4938	4987	62	13	27280	27231	13150	13325	357923	372826	106647	91618	1717	1788	737	784	4938	4987	5000	4990	23	21	25	23	79	80	0	0
2853	baseline	2	0	0	0	0	4941	4992	59	8	27540	26812	13261	13454	368475	383317	95724	81417	1723	1789	736	832	4941	4992	5000	4990	21	19	22	22	78	74	0	0
2853	baseline	3	0	0	0	0	4950	4990	50	10	28034	27164	13387	13195	369764	385356	93815	79285	1748	1807	759	786	4950	4990	5000	4990	21	19	24	22	74	69	0	0
2854	baseline	1	0	0	1	0	4999	5000	0	0	17524	17642	48108	47558	385361	390825	54007	48975	2130	2147	2593	2542	4999	5000	5000	4990	12	12	17	16	84	88	0	0
2854	baseline	2	0	0	0	1	5000	4999	0	0	17498	17487	47615	48339	391434	395175	48453	43999	2138	2205	2551	2675	5000	4999	5000	4990	11	10	16	15	94	96	0	0
2854	baseline	3	0	0	0	1	5000	4999	0	0	17699	17518	47710	47857	392149	396476	47442	43149	2163	2245	2587	2621	5000	4999	5000	4990	11	10	16	14	98	92	0	0
2855	baseline	1	0	0	0	0	5000	5000	0	0	10717	11145	22384	22414	431026	434422	40873	37019	1958	1937	2211	2142	5000	5000	5000	4990	9	8	11	11	53	46	0	0
2855	baseline	2	0	0	0	0	5000	5000	0	0	10941	10960	22211	22403	434266	437589	37582	34048	1820	1970	2147	2230	5000	5000	5000	4990	9	8	11	10	48	45	0	0
2855	baseline	3	0	0	0	0	5000	5000	0	0	11204	10809	22441	22303	433313	437315	38042	34573	1915	1971	2191	2206	5000	5000	5000	4990	9	8	11	10	49	49	0	0
2856	baseline	1	0	0	0	0	4994	5000	6	0	6939	6775	10185	10307	455356	459171	32520	28747	1625	1604	1633	1698	4994	5000	5000	4990	7	6	8	8	25	24	0	0
2856	baseline	2	0	0	0	0	4997	5000	3	0	6900	6882	10361	10212	456571	459718	31168	28188	1522	1641	1653	1709	4997	5000	5000	4990	7	6	8	7	26	23	0	0
2856	baseline	3	0	0	0	0	4994	5000	6	0	6993	6861	10550	10375	456082	459948	31375	27816	1574	1604	1680	1665	4994	5000	5000	4990	7	6	8	7	27	30	0	0
2857	baseline	1	0	0	89	73	4911	4927	0	0	39276	40204	98874	95641	321279	329404	45571	39751	3294	3328	2703	2649	4911	4927	5000	4990	11	10	20	20	100	100	0	0
2857	baseline	2	0	0	81	76	4919	4924	0	0	39661	39071	97553	96358	325390	331194	42396	38377	3258	3271	2692	2676	4919	4924	5000	4990	11	10	20	21	100	100	0	0
2857	baseline	3	0	0	91	68	4909	4932	0	0	40571	40675	98976	97583	326369	331774	39084	34968	3271	3398	2665	2666	4909	4932	5000	4990	10	9	21	19	100	100	0	0
2858	baseline	1	0	0	0	1	5000	4999	0	0	25204	25390	46491	46313	399839	404045	33466	29252	3133	3072	2378	2334	5000	4999	5000	4990	8	7	13	12	84	81	0	0
2858	baseline	2	0	0	0	1	5000	4999	0	0	25805	25249	45681	45747	401294	405251	32220	28753	3085	3179	2349	2327	5000	4999	5000	4990	8	7	13	13	94	96	0	0
2858	baseline	3	0	0	1	0	4999	5000	0	0	25791	25824	47104	45711	401912	406617	30193	26848	3015	3180	2322	2305	4999	5000	5000	4990	7	7	13	12	79	90	0	0
2859	baseline	1	0	0	0	0	4987	5000	13	0	15956	15540	21139	21621	387224	396568	80681	71271	1529	1526	1506	1539	4987	5000	5000	4990	17	16	21	18	60	58	0	0
2859	baseline	2	0	0	0	0	4990	4997	10	3	15540	15824	21787	21424	394911	401630	72762	66122	1463	1571	1516	1613	4990	4997	5000	4990	16	15	20	18	56	60	0	0
2859	baseline	3	0	0	0	0	4984	4999	16	1	15911	16004	21780	21128	394238	403354	73071	64514	1535	1638	1510	1553	4984	4999	5000	4990	16	15	19	18	69	58	0	0
2860	baseline	1	0	0	15	16	4985	4984	0	0	10049	9896	77095	76772	367338	372279	50518	46053	1655	1699	3430	3512	4985	4984	5000	4990	11	10	16	14	100	100	0	0
2860	baseline	2	0	0	10	13	4990	4987	0	0	10098	9998	76941	75580	373303	378691	44658	40731	1652	1759	3476	3500	4990	4987	5000	4990	10	9	14	13	100	100	0	0
2860	baseline	3	0	0	13	15	4987	4985	0	0	10131	9962	77537	76219	372962	378094	44370	40725	1675	1753	3474	3540	4987	4985	5000	4990	10	9	14	13	99	98	0	0
2861	baseline	1	0	0	0	0	5000	5000	0	0	6368	6275	35461	36135	426022	429104	37149	33486	1426	1443	2981	3057	5000	5000	5000	4990	8	7	11	10	74	63	0	0
2861	baseline	2	0	0	0	0	5000	5000	0	0	6439	6284	35723	35779	427816	431099	35022	31838	1410	1532	3066	3111	5000	5000	5000	4990	8	7	10	9	87	58	0	0
2861	baseline	3	0	0	0	0	5000	5000	0	0	6408	6315	36243	35358	427720	432045	34629	31282	1373	1539	3114	3104	5000	5000	5000	4990	7	7	10	9	62	73	0	0
2862	baseline	1	0	0	0	0	5000	5000	0	0	35453	36449	16586	16528	383421	390343	69540	61680	2512	2619	1003	971	5000	5000	5000	4990	17	15	20	17	79	82	0	0
2862	baseline	2	0	0	0	0	4999	5000	1	0	36265	36174	16446	16738	387370	393314	64919	58774	2529	2662	946	1009	4999	5000	5000	4990	16	15	18	18	72	96	0	0
2862	baseline	3	0	0	0	0	5000	5000	0	0	36668	35635	16789	16436	388003	395700	63540	57229	2581	2595	974	990	5000	5000	5000	4990	16	15	19	18	77	68	0	0
2863	baseline	1	0	0	2	3	4998	4997	0	0	22806	23196	60033	58725	380811	386693	41350	36386	2736	2789	2676	2623	4998	4997	5000	4990	10	9	15	14	99	98	0	0
